method,path,router_file:line,action_description,member,manager,admin,super_admin,conditions,notes
GET,/api/health,routes/health.js:12,Liveness + DB/Redis status,Y,Y,Y,Y,,public (no auth)
GET,/api/version,routes/health.js:42,App version,Y,Y,Y,Y,,public (no auth)
GET,/api/metrics,routes/metrics.js:26,Prometheus metrics,N,N,N,N,Bearer METRICS_TOKEN must equal env METRICS_TOKEN; 404 when env unset,public+static token (not a user role); plain string compare (not constant-time)
GET,/api/cli/install.sh,routes/cli.js:82,TUI installer script,Y,Y,Y,Y,,public (no auth)
GET,/api/cli/version,routes/cli.js:136,TUI binary version,Y,Y,Y,Y,,public (no auth)
GET,/api/cli/bin/:file,routes/cli.js:186,Download TUI binary (allow-listed filenames),Y,Y,Y,Y,,public (no auth)
POST,/api/auth/login,routes/auth.js:119,Password login,Y,Y,Y,Y,,public; authLimiter
POST,/api/auth/login-options,routes/auth.js:136,Email-first login options (password/SSO),Y,Y,Y,Y,,public; authLimiter
POST,/api/auth/mfa/verify,routes/auth.js:164,Complete MFA challenge,Y,Y,Y,Y,Requires valid mfaToken from /login,public (mfaToken-gated)
POST,/api/auth/mfa/send-otp,routes/auth.js:182,Email OTP during MFA challenge,Y,Y,Y,Y,Requires valid mfaToken,public (mfaToken-gated)
POST,/api/auth/refresh,routes/auth.js:197,Rotate refresh token,Y,Y,Y,Y,Requires valid refresh token,public (refresh-token-gated)
POST,/api/auth/logout,routes/auth.js:210,Revoke refresh token,Y,Y,Y,Y,authenticate only (no tenant/role),"self-service; revokes whichever refresh-token family is in the body (ownership not checked, but possession of the token is required - benign)"
GET,/api/auth/me,routes/auth.js:220,Caller profile + SSO identities,S,S,S,S,,self-service; MFA-setup allowlisted
DELETE,/api/auth/identities/:id,routes/auth.js:234,Unlink own SSO identity,S,S,S,S,ssoService.deleteUserIdentity scoped to caller userId,self-service
GET,/api/auth/sessions,routes/auth.js:257,List own refresh-token families,S,S,S,S,,self-service
DELETE,/api/auth/sessions/:id,routes/auth.js:266,Revoke one own session family,S,S,S,S,scoped to caller userId,self-service
POST,/api/auth/sessions/revoke-others,routes/auth.js:285,Revoke all other own sessions,S,S,S,S,,self-service
GET,/api/auth/invite/:token,routes/auth.js:308,Peek invite token,Y,Y,Y,Y,64-hex INVITE token,public (token-gated)
POST,/api/auth/invite/:token/accept,routes/auth.js:333,"Accept invite: set password, status=active, log in",Y,Y,Y,Y,INVITE token; does NOT check current user.status (suspended/deactivated user is re-activated),public (token-gated); see finding F-11
GET,/api/auth/password-reset/:token,routes/auth.js:380,Peek reset token,Y,Y,Y,Y,PASSWORD_RESET token,public (token-gated)
POST,/api/auth/password-reset/:token/reset,routes/auth.js:405,"Consume reset token, set password, log in",Y,Y,Y,Y,PASSWORD_RESET token; refuses suspended/deactivated/deleted,public (token-gated)
POST,/api/auth/password-reset,routes/auth.js:466,Self-service reset request (always 204),Y,Y,Y,Y,,public
GET,/api/auth/registration-status,routes/auth.js:535,Is self-registration enabled,Y,Y,Y,Y,,public
POST,/api/auth/register,routes/auth.js:548,Self-service registration,Y,Y,Y,Y,Only when org.selfServiceRegistrationEnabled; always creates role=member,public; hard-coded role 'member' (userService.createPendingUser)
POST,/api/auth/verify-email/:token,routes/auth.js:636,Verify email -> status active,Y,Y,Y,Y,EMAIL_VERIFY token,public (token-gated)
GET,/api/auth/sso/config,routes/sso.js:226,Read legacy SSO config,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
PUT,/api/auth/sso/config,routes/sso.js:239,Upsert legacy SSO config,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
POST,/api/auth/sso/config/test,routes/sso.js:253,Test legacy SSO config,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
GET,/api/auth/sso/providers,routes/sso.js:270,List SSO providers,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
POST,/api/auth/sso/providers,routes/sso.js:281,Create SSO provider,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
POST,/api/auth/sso/providers/test,routes/sso.js:296,Test unsaved provider draft,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
PUT,/api/auth/sso/providers/order,routes/sso.js:310,Reorder providers,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
POST,/api/auth/sso/providers/:id/test,routes/sso.js:323,Test saved provider,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
PATCH,/api/auth/sso/providers/:id,routes/sso.js:335,Update provider,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
DELETE,/api/auth/sso/providers/:id,routes/sso.js:348,Delete provider,N,N,N,Y,requireRole('super_admin'),defaultRole Joi limited to admin|manager|member; safeDefaultRole only strips super_admin
GET,/api/auth/sso/public-status,routes/sso.js:376,Public SSO summary for login page,Y,Y,Y,Y,,public
POST,/api/auth/sso/exchange,routes/sso.js:395,Trade one-time SSO callback code for session,Y,Y,Y,Y,one-time exchange code,public (code-gated)
GET,/api/auth/sso/callback,routes/sso.js:695,OIDC/GitHub callback (state-derived org),Y,Y,Y,Y,signed state + cookie,public; JIT provisions users with provider defaultRole (never super_admin)
